state,population,vac_ratio,state_name,dem_votes,rep_votes,dem_percent,rep_percent
AL,4903185,0.372,Alabama,849624,1441170,36.6,62
AK,731545,0.475,Alaska,153778,189951,42.8,52.8
AZ,7278717,0.48,Arizona,1672143,1661686,49.4,49.1
AR,3017804,0.408,Arkansas,423932,760647,34.8,62.4
CA,39512223,0.594,California,11110250,6006429,63.5,34.3
CO,5758736,0.565,Colorado,1804352,1364607,55.4,41.9
CT,3565287,0.655,Connecticut,1080831,714717,59.3,39.2
DE,973764,0.566,Delaware,296268,200603,58.7,39.8
DC,705749,0.592,District of Columbia,317323,18586,92.1,5.4
FL,21477737,0.516,Florida,5297045,5668731,47.9,51.2
GA,10617423,0.413,Georgia,2473633,2461854,49.5,49.3
HI,1415872,0.686,Hawaii,366130,196864,63.7,34.3
ID,1787065,0.387,Idaho,287021,554119,33.1,63.9
IL,12671821,0.573,Illinois,3471915,2446891,57.5,40.6
IN,6732219,0.433,Indiana,1242413,1729516,41,57
IA,3155070,0.504,Iowa,759061,897672,44.9,53.1
KS,2913314,0.481,Kansas,570323,771406,41.6,56.2
KY,4467673,0.482,Kentucky,772474,1326646,36.2,62.1
LA,4648794,0.371,Louisiana,856034,1255776,39.9,58.5
ME,1344212,0.652,Maine,435072,360737,53.1,44
MD,6045680,0.6,Maryland,1985023,976414,65.4,32.2
MA,6892503,0.687,Massachusetts,2382202,1167202,65.6,32.1
MI,9986857,0.503,Michigan,2804040,2649852,50.6,47.8
MN,5639632,0.559,Minnesota,1717077,1484065,52.4,45.3
MS,2976149,0.352,Mississippi,539508,756789,41.1,57.6
MO,6137428,0.435,Missouri,1253014,1718736,41.4,56.8
MT,1068778,0.467,Montana,244786,343602,40.5,56.9
NE,1934408,0.498,Nebraska,374583,556846,39.4,58.5
NV,3080156,0.477,Nevada,703486,669890,50.1,47.7
NH,1359711,0.614,New Hampshire,424921,365654,52.7,45.4
NJ,8882190,0.631,New Jersey,2608335,1883274,57.3,41.4
NM,2096829,0.598,New Mexico,501614,401894,54.3,43.5
NY,19453561,0.583,New York,5244886,3251997,60.9,37.7
NC,10488084,0.443,North Carolina,2684292,2758775,48.6,49.9
ND,762062,0.431,North Dakota,114902,235595,31.8,65.1
OH,11689100,0.473,Ohio,2679165,3154834,45.2,53.3
OK,3956971,0.435,Oklahoma,503890,1020280,32.3,65.4
OR,4217737,0.572,Oregon,1340383,958448,56.5,40.4
PA,12801989,0.611,Pennsylvania,3458229,3377674,50,48.8
RI,1059361,0.63,Rhode Island,307486,199922,59.4,38.6
SC,5148714,0.424,South Carolina,1091541,1385103,43.4,55.1
SD,884659,0.495,South Dakota,150471,261043,35.6,61.8
TN,6829174,0.405,Tennessee,1143711,1852475,37.5,60.7
TX,28995881,0.466,Texas,5259126,5890347,46.5,52.1
UT,3205958,0.471,Utah,560282,865140,37.6,58.1
VT,623989,0.726,Vermont,242820,112704,66.1,30.7
VA,8535519,0.576,Virginia,2413568,1962430,54.1,44
WA,7614893,0.592,Washington,2369612,1584651,58,38.8
WV,1792147,0.422,West Virginia,235984,545382,29.7,68.6
WI,5822434,0.525,Wisconsin,1630866,1610184,49.4,48.8
WY,578759,0.383,Wyoming,73491,193559,26.6,69.9